rainfall,crop,soil_type,season,pesticide,success_rate
487,rice,red,winter,Mancozeb,48
217,wheat,black,summer,Copper Sulfate,83
59,rice,red,winter,Deltamethrin,55
437,wheat,black,rainy,Carbendazim,57
387,rice,red,winter,Chlorpyrifos,45
289,wheat,black,summer,Imidacloprid,95
386,rice,red,winter,Chlorpyrifos,45
230,wheat,red,summer,Carbendazim,72
202,rice,red,winter,Copper Sulfate,68
295,wheat,black,summer,Carbendazim,87
369,rice,red,winter,Carbendazim,42
250,wheat,black,rainy,Chlorpyrifos,90
485,wheat,black,winter,Imidacloprid,85
392,rice,red,summer,Mancozeb,48
275,wheat,black,winter,Carbendazim,100
76,rice,red,summer,Chlorpyrifos,45
113,wheat,red,summer,Imidacloprid,80
422,rice,black,summer,Mancozeb,63
364,wheat,black,summer,Copper Sulfate,53
50,rice,black,rainy,Deltamethrin,90
173,rice,red,summer,Copper Sulfate,68
381,rice,red,summer,Chlorpyrifos,45
329,rice,red,rainy,Mancozeb,68
83,wheat,black,rainy,Glyphosate,55
297,rice,black,summer,Glyphosate,85
54,rice,red,winter,Mancozeb,48
363,wheat,black,rainy,Copper Sulfate,53
126,wheat,black,rainy,Mancozeb,93
446,rice,black,winter,Imidacloprid,65
380,rice,black,rainy,Mancozeb,83
203,wheat,red,rainy,Carbendazim,72
376,rice,black,winter,Imidacloprid,65
330,rice,red,winter,Imidacloprid,50
421,rice,red,rainy,Chlorpyrifos,65
157,rice,red,rainy,Chlorpyrifos,95
192,rice,red,summer,Carbendazim,72
202,wheat,black,summer,Copper Sulfate,83
225,wheat,black,rainy,Carbendazim,87
494,wheat,red,rainy,Imidacloprid,50
113,rice,red,summer,Glyphosate,70
446,rice,black,winter,Chlorpyrifos,60
355,rice,red,winter,Deltamethrin,55
249,rice,red,rainy,Imidacloprid,100
447,wheat,red,summer,Chlorpyrifos,45
151,rice,black,winter,Carbendazim,87
478,rice,red,summer,Chlorpyrifos,45
312,rice,red,winter,Copper Sulfate,38
211,wheat,red,winter,Deltamethrin,100
133,wheat,black,winter,Glyphosate,100
208,wheat,red,rainy,Copper Sulfate,68
91,rice,red,summer,Carbendazim,42
277,wheat,red,summer,Carbendazim,72
205,rice,black,summer,Copper Sulfate,83
443,rice,black,winter,Copper Sulfate,53
205,rice,red,rainy,Chlorpyrifos,95
165,rice,black,summer,Copper Sulfate,83
128,rice,black,winter,Carbendazim,87
239,rice,red,summer,Glyphosate,70
78,wheat,black,winter,Mancozeb,83
195,wheat,black,summer,Mancozeb,93
218,rice,red,rainy,Copper Sulfate,88
178,wheat,red,winter,Deltamethrin,100
372,wheat,red,rainy,Deltamethrin,55
133,wheat,red,rainy,Copper Sulfate,68
374,rice,red,winter,Carbendazim,42
208,rice,red,rainy,Glyphosate,90
165,wheat,red,summer,Carbendazim,72
479,rice,red,summer,Copper Sulfate,38
487,rice,red,winter,Carbendazim,42
50,rice,red,summer,Imidacloprid,50
120,rice,red,rainy,Glyphosate,90
151,rice,black,rainy,Carbendazim,100
153,wheat,black,summer,Imidacloprid,95
395,rice,red,rainy,Deltamethrin,75
493,wheat,black,rainy,Carbendazim,57
432,rice,black,rainy,Deltamethrin,90
478,rice,red,rainy,Carbendazim,62
183,rice,black,winter,Mancozeb,93
248,wheat,black,rainy,Copper Sulfate,83
287,wheat,red,summer,Imidacloprid,80
393,wheat,black,rainy,Deltamethrin,70
249,rice,black,summer,Deltamethrin,100
479,rice,red,summer,Chlorpyrifos,45
424,rice,black,rainy,Mancozeb,83
146,rice,red,rainy,Copper Sulfate,88
75,wheat,red,winter,Mancozeb,68
168,rice,black,summer,Deltamethrin,100
462,rice,red,winter,Carbendazim,42
445,wheat,red,summer,Copper Sulfate,38
362,wheat,black,winter,Mancozeb,83
286,wheat,black,summer,Mancozeb,93
408,wheat,red,summer,Imidacloprid,50
65,rice,black,winter,Deltamethrin,70
310,wheat,red,summer,Copper Sulfate,38
194,rice,black,rainy,Mancozeb,100
481,wheat,black,winter,Mancozeb,83
312,wheat,black,rainy,Deltamethrin,70
409,rice,red,summer,Imidacloprid,50
393,wheat,red,summer,Imidacloprid,50
72,rice,black,winter,Carbendazim,57
441,wheat,red,winter,Mancozeb,68
293,rice,black,rainy,Carbendazim,100
487,rice,black,rainy,Copper Sulfate,73
288,rice,black,rainy,Deltamethrin,100
225,rice,black,summer,Carbendazim,87
199,wheat,red,summer,Chlorpyrifos,75
377,wheat,red,rainy,Glyphosate,40
370,wheat,red,winter,Chlorpyrifos,65
220,rice,red,summer,Glyphosate,70
142,wheat,red,summer,Mancozeb,78
80,rice,black,summer,Chlorpyrifos,60
86,wheat,black,rainy,Carbendazim,57
257,wheat,red,summer,Imidacloprid,80
54,wheat,black,rainy,Glyphosate,55
311,wheat,black,rainy,Chlorpyrifos,60
431,rice,red,summer,Carbendazim,42
202,wheat,black,rainy,Mancozeb,93
473,wheat,red,winter,Chlorpyrifos,65
320,wheat,black,summer,Deltamethrin,70
438,rice,black,summer,Deltamethrin,70
143,wheat,red,rainy,Mancozeb,78
176,wheat,red,summer,Mancozeb,78
347,rice,black,summer,Carbendazim,57
378,wheat,black,summer,Chlorpyrifos,60
107,wheat,black,winter,Glyphosate,100
285,wheat,red,winter,Mancozeb,98
314,rice,red,summer,Copper Sulfate,38
249,rice,red,rainy,Deltamethrin,100
244,wheat,red,rainy,Deltamethrin,85
478,rice,red,winter,Deltamethrin,55
187,wheat,black,summer,Mancozeb,93
320,rice,red,rainy,Carbendazim,62
493,rice,red,summer,Copper Sulfate,38
117,rice,black,rainy,Imidacloprid,100
470,wheat,black,summer,Deltamethrin,70
482,rice,black,winter,Glyphosate,55
413,wheat,black,summer,Imidacloprid,65
135,rice,red,rainy,Deltamethrin,100
376,wheat,black,winter,Glyphosate,75
167,wheat,black,rainy,Glyphosate,85
298,wheat,red,winter,Carbendazim,92
382,wheat,red,rainy,Glyphosate,40
139,wheat,black,summer,Deltamethrin,100
185,wheat,red,winter,Chlorpyrifos,95
477,rice,red,summer,Mancozeb,48
129,wheat,red,winter,Imidacloprid,100
210,wheat,black,rainy,Imidacloprid,95
139,wheat,red,winter,Chlorpyrifos,95
146,wheat,red,summer,Imidacloprid,80
498,wheat,black,rainy,Deltamethrin,70
291,rice,red,winter,Copper Sulfate,68
149,wheat,black,winter,Copper Sulfate,100
53,rice,red,summer,Imidacloprid,50
168,rice,red,rainy,Deltamethrin,100
484,rice,red,winter,Imidacloprid,50
104,rice,red,rainy,Copper Sulfate,88
262,rice,black,winter,Chlorpyrifos,90
120,rice,black,rainy,Chlorpyrifos,100
457,wheat,red,rainy,Chlorpyrifos,45
271,rice,black,winter,Carbendazim,87
245,rice,black,rainy,Carbendazim,100
191,wheat,black,rainy,Glyphosate,85
386,rice,black,summer,Mancozeb,63
350,wheat,black,summer,Imidacloprid,65
204,wheat,red,winter,Chlorpyrifos,95
127,rice,black,rainy,Glyphosate,100
386,rice,black,rainy,Copper Sulfate,73
358,wheat,black,rainy,Chlorpyrifos,60
116,rice,red,rainy,Deltamethrin,100
480,rice,red,summer,Mancozeb,48
101,rice,red,winter,Glyphosate,70
139,rice,black,winter,Carbendazim,87
120,wheat,black,summer,Carbendazim,87
254,wheat,black,winter,Carbendazim,100
225,wheat,red,summer,Chlorpyrifos,75
52,rice,red,summer,Deltamethrin,55
223,rice,red,summer,Mancozeb,78
162,rice,black,winter,Mancozeb,93
214,wheat,black,summer,Chlorpyrifos,90
133,rice,red,rainy,Copper Sulfate,88
275,wheat,black,summer,Copper Sulfate,83
172,rice,black,rainy,Carbendazim,100
206,wheat,black,rainy,Chlorpyrifos,90
135,wheat,red,rainy,Deltamethrin,85
299,rice,black,summer,Chlorpyrifos,90
372,rice,red,summer,Mancozeb,48
320,rice,black,winter,Copper Sulfate,53
346,rice,black,winter,Mancozeb,63
147,rice,red,summer,Chlorpyrifos,75
460,wheat,black,rainy,Copper Sulfate,53
464,rice,red,rainy,Carbendazim,62
201,rice,black,rainy,Deltamethrin,100
198,wheat,red,rainy,Carbendazim,72
423,wheat,red,winter,Copper Sulfate,58
355,rice,black,summer,Chlorpyrifos,60
65,rice,red,summer,Glyphosate,40
330,rice,red,rainy,Carbendazim,62
187,rice,red,rainy,Carbendazim,92
209,wheat,black,rainy,Mancozeb,93
287,rice,red,rainy,Deltamethrin,100
92,rice,black,rainy,Imidacloprid,85
316,wheat,black,winter,Chlorpyrifos,80
455,wheat,red,winter,Deltamethrin,75
235,wheat,red,summer,Imidacloprid,80
52,wheat,black,rainy,Deltamethrin,70
364,wheat,red,summer,Copper Sulfate,38
312,rice,red,rainy,Deltamethrin,75
368,rice,black,rainy,Mancozeb,83
326,wheat,red,winter,Imidacloprid,70
495,rice,red,rainy,Carbendazim,62
319,wheat,black,rainy,Mancozeb,63
494,rice,black,winter,Mancozeb,63
196,rice,black,summer,Chlorpyrifos,90
169,rice,red,winter,Imidacloprid,80
428,wheat,red,summer,Mancozeb,48
343,rice,black,rainy,Chlorpyrifos,80
94,wheat,red,winter,Glyphosate,60
367,wheat,black,rainy,Deltamethrin,70
205,rice,black,winter,Glyphosate,85
333,rice,red,rainy,Chlorpyrifos,65
228,rice,black,winter,Glyphosate,85
133,wheat,black,summer,Chlorpyrifos,90
279,rice,red,summer,Deltamethrin,85
97,wheat,black,summer,Imidacloprid,65
196,rice,black,summer,Chlorpyrifos,90
263,rice,red,winter,Chlorpyrifos,75
182,wheat,black,summer,Imidacloprid,95
440,rice,red,winter,Mancozeb,48
419,rice,red,summer,Deltamethrin,55
79,rice,red,summer,Mancozeb,48
256,wheat,red,summer,Chlorpyrifos,75
328,wheat,red,rainy,Glyphosate,40
238,rice,black,rainy,Copper Sulfate,100
396,rice,black,summer,Carbendazim,57
372,wheat,red,winter,Copper Sulfate,58
413,rice,red,rainy,Imidacloprid,70
465,rice,red,rainy,Deltamethrin,75
465,rice,black,rainy,Copper Sulfate,73
267,wheat,black,summer,Chlorpyrifos,90
370,rice,red,summer,Copper Sulfate,38
356,rice,red,winter,Mancozeb,48
184,wheat,red,winter,Mancozeb,98
194,wheat,black,winter,Carbendazim,100
197,rice,red,rainy,Deltamethrin,100
151,wheat,black,winter,Mancozeb,100
233,rice,red,winter,Carbendazim,72
200,rice,red,summer,Chlorpyrifos,75
360,wheat,black,winter,Copper Sulfate,73
97,rice,black,rainy,Chlorpyrifos,80
457,rice,red,rainy,Imidacloprid,70
210,wheat,red,rainy,Deltamethrin,85
161,rice,red,rainy,Chlorpyrifos,95
257,rice,black,summer,Chlorpyrifos,90
433,wheat,black,rainy,Copper Sulfate,53
403,wheat,red,winter,Carbendazim,62
100,rice,black,summer,Chlorpyrifos,90
488,wheat,red,winter,Chlorpyrifos,65
340,wheat,black,rainy,Mancozeb,63
484,rice,red,winter,Glyphosate,40
306,wheat,red,winter,Imidacloprid,70
270,rice,black,winter,Carbendazim,87
445,wheat,black,rainy,Chlorpyrifos,60
466,wheat,black,rainy,Deltamethrin,70
423,wheat,red,summer,Chlorpyrifos,45
296,rice,black,summer,Imidacloprid,95
271,rice,red,winter,Imidacloprid,80
321,rice,red,summer,Chlorpyrifos,45
491,wheat,red,winter,Mancozeb,68
489,rice,red,summer,Copper Sulfate,38
293,wheat,black,rainy,Imidacloprid,95
437,rice,black,winter,Deltamethrin,70
100,wheat,red,rainy,Glyphosate,70
299,wheat,red,winter,Mancozeb,98
218,wheat,black,winter,Glyphosate,100
319,rice,black,summer,Carbendazim,57
151,wheat,red,summer,Mancozeb,78
121,wheat,red,summer,Glyphosate,70
108,wheat,red,summer,Mancozeb,78
273,rice,red,rainy,Deltamethrin,100
471,wheat,red,summer,Copper Sulfate,38
395,rice,black,rainy,Imidacloprid,85
164,wheat,black,summer,Copper Sulfate,83
462,rice,black,rainy,Carbendazim,77
82,rice,red,rainy,Glyphosate,60
281,rice,black,rainy,Copper Sulfate,100
402,rice,black,winter,Deltamethrin,70
470,wheat,red,summer,Deltamethrin,55
397,rice,black,summer,Carbendazim,57
496,rice,black,rainy,Copper Sulfate,73
180,wheat,black,summer,Mancozeb,93
170,rice,black,rainy,Deltamethrin,100
92,wheat,black,summer,Deltamethrin,70
426,rice,red,rainy,Mancozeb,68
291,wheat,black,rainy,Chlorpyrifos,90
465,rice,red,winter,Deltamethrin,55
307,wheat,red,summer,Deltamethrin,55
357,rice,black,rainy,Mancozeb,83
158,rice,red,winter,Glyphosate,70
57,rice,black,winter,Glyphosate,55
118,wheat,red,winter,Carbendazim,92
330,rice,black,winter,Imidacloprid,65
499,rice,red,rainy,Copper Sulfate,58
262,wheat,red,rainy,Copper Sulfate,68
455,wheat,black,winter,Chlorpyrifos,80
239,wheat,red,summer,Deltamethrin,85
222,wheat,red,winter,Deltamethrin,100
91,wheat,red,winter,Mancozeb,68
431,rice,red,winter,Deltamethrin,55
93,wheat,red,summer,Chlorpyrifos,45
277,wheat,black,winter,Mancozeb,100
209,rice,black,rainy,Imidacloprid,100
165,wheat,red,rainy,Imidacloprid,80
276,wheat,red,winter,Copper Sulfate,88
81,rice,red,summer,Mancozeb,48
134,rice,black,summer,Imidacloprid,95
326,wheat,black,winter,Deltamethrin,90
160,rice,red,summer,Deltamethrin,85
178,wheat,red,winter,Chlorpyrifos,95
264,rice,black,rainy,Imidacloprid,100
358,rice,red,summer,Copper Sulfate,38
307,wheat,black,summer,Carbendazim,57
296,wheat,red,rainy,Copper Sulfate,68
144,rice,red,rainy,Glyphosate,90
445,wheat,black,rainy,Chlorpyrifos,60
94,rice,red,summer,Carbendazim,42
500,wheat,black,winter,Copper Sulfate,73
88,rice,red,rainy,Glyphosate,60
433,rice,black,summer,Deltamethrin,70
91,wheat,black,winter,Glyphosate,75
160,wheat,black,summer,Deltamethrin,100
120,rice,black,rainy,Copper Sulfate,100
169,rice,black,rainy,Carbendazim,100
314,rice,black,summer,Imidacloprid,65
380,rice,red,rainy,Carbendazim,62
311,wheat,red,summer,Copper Sulfate,38
410,wheat,red,rainy,Imidacloprid,50
225,wheat,black,rainy,Copper Sulfate,83
473,wheat,red,summer,Copper Sulfate,38
497,rice,black,summer,Chlorpyrifos,60
68,rice,black,summer,Glyphosate,55
455,wheat,red,rainy,Glyphosate,40
309,rice,black,winter,Deltamethrin,70
386,wheat,black,winter,Chlorpyrifos,80
92,wheat,black,summer,Chlorpyrifos,60
116,rice,red,winter,Copper Sulfate,68
374,rice,black,winter,Glyphosate,55
90,wheat,red,summer,Chlorpyrifos,45
372,rice,black,winter,Carbendazim,57
312,rice,black,summer,Deltamethrin,70
259,rice,red,rainy,Copper Sulfate,88
59,wheat,black,rainy,Mancozeb,63
107,wheat,red,rainy,Copper Sulfate,68
449,wheat,black,rainy,Mancozeb,63
55,wheat,black,summer,Glyphosate,55
403,rice,black,rainy,Deltamethrin,90
209,rice,red,winter,Mancozeb,78
294,wheat,black,winter,Mancozeb,100
357,rice,black,rainy,Mancozeb,83
334,wheat,black,winter,Glyphosate,75
280,wheat,black,rainy,Imidacloprid,95
365,rice,black,rainy,Glyphosate,75
436,rice,black,rainy,Imidacloprid,85
103,rice,red,winter,Mancozeb,78
188,rice,red,rainy,Copper Sulfate,88
368,wheat,black,rainy,Carbendazim,57
83,wheat,black,summer,Carbendazim,57
86,rice,black,rainy,Deltamethrin,90
413,wheat,black,winter,Deltamethrin,90
247,rice,red,rainy,Mancozeb,98
450,rice,black,summer,Deltamethrin,70
121,rice,black,rainy,Carbendazim,100
254,wheat,black,rainy,Carbendazim,87
441,wheat,red,winter,Mancozeb,68
289,rice,red,summer,Carbendazim,72
368,rice,black,summer,Deltamethrin,70
498,rice,red,rainy,Carbendazim,62
60,rice,black,rainy,Copper Sulfate,73
470,rice,red,summer,Copper Sulfate,38
215,rice,red,summer,Copper Sulfate,68
82,wheat,black,rainy,Deltamethrin,70
299,wheat,red,winter,Copper Sulfate,88
113,rice,red,winter,Copper Sulfate,68
155,rice,black,winter,Deltamethrin,100
91,wheat,black,winter,Deltamethrin,90
245,wheat,black,rainy,Copper Sulfate,83
271,wheat,red,winter,Copper Sulfate,88
443,wheat,black,winter,Deltamethrin,90
258,wheat,red,rainy,Copper Sulfate,68
71,rice,red,rainy,Carbendazim,62
371,wheat,red,summer,Glyphosate,40
195,rice,black,summer,Imidacloprid,95
232,wheat,black,rainy,Copper Sulfate,83
315,wheat,red,rainy,Imidacloprid,50
355,wheat,red,summer,Mancozeb,48
498,rice,black,winter,Deltamethrin,70
220,wheat,red,rainy,Glyphosate,70
398,rice,red,rainy,Copper Sulfate,58
207,rice,black,rainy,Chlorpyrifos,100
485,wheat,black,rainy,Glyphosate,55
272,wheat,black,summer,Chlorpyrifos,90
297,rice,black,winter,Copper Sulfate,83
451,wheat,red,summer,Imidacloprid,50
397,rice,black,summer,Deltamethrin,70
334,rice,black,rainy,Chlorpyrifos,80
297,rice,red,rainy,Deltamethrin,100
56,wheat,black,winter,Glyphosate,75
95,wheat,red,summer,Imidacloprid,50
132,rice,black,summer,Imidacloprid,95
193,rice,red,rainy,Copper Sulfate,88
315,wheat,red,summer,Copper Sulfate,38
316,rice,black,rainy,Copper Sulfate,73
413,wheat,black,winter,Chlorpyrifos,80
100,wheat,black,rainy,Copper Sulfate,83
436,wheat,black,rainy,Glyphosate,55
226,rice,red,rainy,Carbendazim,92
406,wheat,red,winter,Chlorpyrifos,65
460,wheat,black,summer,Copper Sulfate,53
426,wheat,black,summer,Mancozeb,63
160,wheat,red,winter,Carbendazim,92
303,wheat,red,rainy,Carbendazim,42
372,rice,black,summer,Glyphosate,55
465,wheat,red,winter,Imidacloprid,70
232,rice,black,winter,Imidacloprid,95
395,wheat,red,summer,Imidacloprid,50
107,rice,black,rainy,Glyphosate,100
355,wheat,red,winter,Deltamethrin,75
365,rice,black,summer,Mancozeb,63
453,rice,red,winter,Copper Sulfate,38
310,wheat,black,winter,Mancozeb,83
318,wheat,red,summer,Mancozeb,48
435,wheat,red,rainy,Chlorpyrifos,45
161,wheat,red,rainy,Copper Sulfate,68
464,wheat,red,rainy,Deltamethrin,55
288,wheat,black,winter,Copper Sulfate,100
415,wheat,black,winter,Chlorpyrifos,80
343,wheat,red,summer,Chlorpyrifos,45
268,wheat,black,summer,Glyphosate,85
300,rice,red,winter,Copper Sulfate,68
359,rice,black,winter,Copper Sulfate,53
296,rice,black,rainy,Copper Sulfate,100
192,rice,red,rainy,Copper Sulfate,88
347,rice,black,summer,Carbendazim,57
289,rice,black,winter,Deltamethrin,100
349,wheat,red,rainy,Imidacloprid,50
158,wheat,red,rainy,Carbendazim,72
416,wheat,black,winter,Imidacloprid,85
298,rice,red,summer,Glyphosate,70
182,rice,black,rainy,Mancozeb,100
99,rice,red,winter,Glyphosate,40
437,wheat,red,winter,Copper Sulfate,58
302,wheat,red,summer,Chlorpyrifos,45
374,wheat,black,rainy,Copper Sulfate,53
58,wheat,black,rainy,Carbendazim,57
70,wheat,black,summer,Mancozeb,63
439,rice,red,summer,Copper Sulfate,38
284,wheat,red,winter,Carbendazim,92
223,rice,red,summer,Chlorpyrifos,75
97,rice,black,summer,Imidacloprid,65
304,rice,black,summer,Carbendazim,57
417,wheat,red,summer,Carbendazim,42
87,wheat,red,summer,Deltamethrin,55
104,wheat,red,winter,Glyphosate,90
226,rice,black,winter,Glyphosate,85
349,wheat,red,rainy,Copper Sulfate,38
351,rice,black,summer,Mancozeb,63
143,rice,red,rainy,Deltamethrin,100
458,wheat,black,winter,Mancozeb,83
193,wheat,red,rainy,Deltamethrin,85
371,wheat,black,summer,Glyphosate,55
72,wheat,red,summer,Glyphosate,40
227,wheat,red,summer,Copper Sulfate,68
473,rice,black,winter,Mancozeb,63
241,rice,black,summer,Glyphosate,85
247,wheat,red,summer,Copper Sulfate,68
344,rice,red,summer,Copper Sulfate,38
149,wheat,black,summer,Copper Sulfate,83
134,rice,black,rainy,Copper Sulfate,100
321,rice,black,rainy,Glyphosate,75
277,rice,red,rainy,Copper Sulfate,88
300,wheat,black,rainy,Carbendazim,87
84,rice,red,rainy,Chlorpyrifos,65
496,wheat,red,winter,Carbendazim,62
485,wheat,black,winter,Copper Sulfate,73
314,rice,black,rainy,Mancozeb,83
398,wheat,red,summer,Imidacloprid,50
425,wheat,red,summer,Glyphosate,40
243,wheat,black,winter,Chlorpyrifos,100
177,rice,red,winter,Imidacloprid,80
446,wheat,black,winter,Carbendazim,77
428,rice,black,winter,Copper Sulfate,53
136,wheat,red,rainy,Deltamethrin,85
294,wheat,red,winter,Imidacloprid,100
497,rice,red,rainy,Carbendazim,62
410,wheat,black,winter,Glyphosate,75
115,rice,black,rainy,Deltamethrin,100
181,rice,red,summer,Deltamethrin,85
322,wheat,black,winter,Deltamethrin,90
156,rice,black,summer,Deltamethrin,100
400,wheat,red,summer,Carbendazim,42
177,rice,black,winter,Glyphosate,85
373,wheat,red,summer,Carbendazim,42
344,wheat,red,winter,Carbendazim,62
66,wheat,black,winter,Imidacloprid,85
109,rice,black,summer,Copper Sulfate,83
428,rice,black,winter,Deltamethrin,70
256,wheat,black,summer,Imidacloprid,95
350,rice,red,summer,Mancozeb,48
360,wheat,black,rainy,Imidacloprid,65
440,rice,red,winter,Carbendazim,42
420,wheat,red,winter,Deltamethrin,75
160,wheat,red,rainy,Carbendazim,72
405,rice,red,summer,Glyphosate,40
317,wheat,red,rainy,Copper Sulfate,38
408,wheat,red,rainy,Deltamethrin,55
114,wheat,black,rainy,Glyphosate,85
239,rice,black,winter,Mancozeb,93
294,rice,red,summer,Copper Sulfate,68
60,wheat,black,rainy,Chlorpyrifos,60
110,rice,black,rainy,Glyphosate,100
151,rice,red,winter,Mancozeb,78
